ANTH.TAX...CARB-ANTH.TAX	id
-1	9636
-1	126792
-1	55210
-1	6497
-1	11079
-1	127262
-1	148479
-1	23261
-1	9341
-1	199953
-1	10277
-1	23095
-1	23435
-1	57085
-1	9927
-1	55187
-1	7799
-1	23341
-1	84301
-1	23207
-1	23013
-1	26099
-1	65018
-1	249
-1	23028
-1	6135
-1	11313
-1	55629
-1	10250
-1	25932
-1	23585
-1	55219
-1	83442
-1	8289
-1	4869
-1	23673
-1	5511
-1	93974
-1	10657
-1	5928
-1	9202
-1	26523
-1	9967
-1	79647
-1	10487
-1	6018
-1	10269
-1	4904
-1	5792
-1	9670
-1	533
-1	6202
-1	4678
-1	51249
-1	23139
-1	7388
-1	26994
-1	79699
-1	115353
-1	51253
-1	7398
-1	84938
-1	29929
-1	5236
-1	4919
-1	57685
-1	55225
-1	57708
-1	9295
-1	34
-1	5876
-1	80135
-1	51100
-1	5586
-1	284695
-1	79871
-1	22823
-1	1810
-1	54874
-1	5825
-1	178
-1	693138
-1	148867
-1	55119
-1	6814
-1	56900
-1	677766
-1	2773
-1	10768
-1	10390
-1	128346
-1	829
-1	9860
-1	204851
-1	5738
-1	653519
-1	58497
-1	57592
-1	81609
-1	26097
-1	65123
-1	6232
-1	9898
-1	10456
-1	3570
-1	1163
-1	80308
-1	55974
-1	7818
-1	8682
-1	23385
-1	51506
-1	2207
-1	22926
-1	57645
-1	55827
-1	261726
-1	23215
-1	51430
-1	9588
-1	55157
-1	9293
-1	27101
-1	6646
-1	26092
-1	9213
-1	1660
-1	9887
-1	116461
-1	6045
-1	6738
-1	79577
-1	140609
-1	23271
-1	89796
-1	55705
-1	10440
-1	6051
-1	100506696
-1	493
-1	9877
-1	6635
-1	9580
-1	9261
-1	4179
-1	55758
-1	5525
-1	29937
-1	26750
-1	56950
-1	1063
-1	51133
-1	51018
-1	127018
-1	55699
-1	148362
-1	23219
-1	8560
-1	29097
-1	6726
-1	339500
-1	375
-1	149603
-1	64801
-1	8443
-1	7107
-1	100616343
-1	51029
-1	116228
-1	81469
-1	51150
-1	118424
-1	54973
-1	81669
-1	55052
-1	29101
-1	643988
-1	728661
-1	65220
-1	388585
-1	57470
-1	9731
-1	23463
-1	79707
-1	55735
-1	473
-1	2023
-1	22883
-1	56998
-1	84328
-1	6723
-1	5394
-1	2475
-1	10459
-1	90231
-1	440567
-1	4237
-1	23400
-1	6390
-1	55920
-1	23352
-1	23065
-1	832
-1	1650
-1	8672
-1	1889
-1	3339
-1	10236
-1	10772
-1	6548
-1	6118
-1	2140
-1	7805
-1	9698
-1	553115
-1	65108
-1	113452
-1	204
-1	100861513
-1	5690
-1	64960
-1	29889
-1	4520
-1	10946
-1	2275
-1	5538
-1	22887
-1	5052
-1	60313
-1	10489
-1	2060
-1	4898
-1	4116
-1	55706
-1	54432
-1	9528
-1	1718
-1	23358
-1	114803
-1	83941
-1	3716
-1	23169
-1	26135
-1	55631
-1	81573
-1	9406
-1	10026
-1	26009
-1	23032
-1	64853
-1	8880
-1	64123
-1	2787
-1	1486
-1	8915
-1	57489
-1	9403
-1	2959
-1	56267
-1	84146
-1	50999
-1	163786
-1	5686
-1	55791
-1	128338
-1	79084
-1	51592
-1	7812
-1	54834
-1	4853
-1	1513
-1	56882
-1	23126
-1	3608
-1	57459
-1	9909
-1	200186
-1	10899
-1	25912
-1	55585
-1	103
-1	10712
-1	10067
-1	55870
-1	23381
-1	7203
-1	4209
-1	81875
-1	9826
-1	8407
-1	50848
-1	9191
-1	8703
-1	25874
-1	8674
-1	149041
-1	64326
-1	163590
-1	2752
-1	10092
-1	80267
-1	81627
-1	10625
-1	7175
-1	51377
-1	360023
-1	163486
-1	83479
-1	127829
-1	29089
-1	10765
-1	51094
-1	51706
-1	84919
-1	2005
-1	64710
-1	7779
-1	25896
-1	25936
-1	90806
-1	10380
-1	25782
-1	80232
-1	3930
-1	55740
-1	81559
-1	79573
-1	149371
-1	54583
-1	359948
-1	9804
-1	148789
-1	26832
-1	4811
-1	159
-1	100500849
-1	440574
-1	4802
-1	5567
-1	79005
-1	4194
-1	728642
-1	3925
-1	51668
-1	441155
-1	3192
-1	5824
-1	3075
-1	2782
-1	79717
-1	8751
-1	1945
-1	9813
-1	23155
-1	10286
-1	6944
-1	6464
-1	6201
-1	3398
-1	285148
-1	6241
-1	23175
-1	1653
-1	348654
-1	388
-1	8648
-1	10890
-1	3032
-1	85465
-1	51374
-1	29959
-1	23160
-1	51646
-1	84272
-1	57448
-1	55622
-1	55471
-1	57504
-1	5495
-1	693144
-1	3344
-1	494143
-1	124900537
-1	64895
-1	29094
-1	54812
-1	10097
-1	307
-1	5093
-1	27332
-1	7840
-1	1716
-1	9801
-1	9168
-1	56888
-1	55037
-1	64795
-1	729857
-1	9669
-1	55571
-1	64965
-1	79074
-1	653489
-1	5903
-1	727851
-1	84910
-1	150465
-1	6574
-1	10096
-1	8886
-1	55240
-1	1622
-1	5775
-1	57669
-1	7247
-1	56886
-1	55041
-1	150776
-1	905
-1	22930
-1	23518
-1	23190
-1	339745
-1	26122
-1	55183
-1	114793
-1	151188
-1	8502
-1	64844
-1	10213
-1	130507
-1	79901
-1	1781
-1	8520
-1	55854
-1	54529
-1	51602
-1	692058
-1	659
-1	65065
-1	1385
-1	200576
-1	9125
-1	56947
-1	3267
-1	51719
-1	5707
-1	5510
-1	26751
-1	6868
-1	10971
-1	79954
-1	51594
-1	79677
-1	9741
-1	6382
-1	23369
-1	54454
-1	51639
-1	55252
-1	3030
-1	2976
-1	6801
-1	23683
-1	6432
-1	6654
-1	8491
-1	63892
-1	678
-1	10128
-1	55133
-1	100506142
-1	80204
-1	23198
-1	57223
-1	87178
-1	9736
-1	7514
-1	10575
-1	51542
-1	57162
-1	9792
-1	5861
-1	22848
-1	6637
-1	55233
-1	550
-1	55654
-1	23020
-1	23505
-1	493753
-1	51455
-1	284996
-1	9392
-1	64682
-1	80255
-1	54520
-1	79134
-1	23332
-1	84365
-1	2071
-1	10746
-1	55677
-1	55339
-1	83607
-1	79595
-1	55627
-1	130074
-1	4175
-1	1615
-1	5000
-1	27249
-1	9111
-1	26225
-1	55660
-1	5937
-1	79675
-1	9874
-1	29789
-1	1386
-1	518
-1	10203
-1	80055
-1	129450
-1	4999
-1	7341
-1	54891
-1	7145
-1	7701
-1	79586
-1	10056
-1	8452
-1	3357
-1	4691
-1	52
-1	100505876
-1	3987
-1	151230
-1	57142
-1	7072
-1	3336
-1	25843
-1	26058
-1	140739
-1	5534
-1	7844
-1	8553
-1	29995
-1	55845
-1	27258
-1	6533
-1	7182
-1	23473
-1	100505696
-1	3146
-1	7325
-1	7048
-1	201595
-1	10491
-1	10015
-1	4615
-1	9943
-1	9942
-1	57599
-1	3921
-1	9045
-1	4820
-1	51099
-1	22908
-1	23218
-1	22907
-1	51372
-1	211
-1	26060
-1	201626
-1	7871
-1	2317
-1	6314
-1	10550
-1	55279
-1	285237
-1	56954
-1	57514
-1	51300
-1	4710
-1	26355
-1	151636
-1	84925
-1	29927
-1	7879
-1	23317
-1	5523
-1	25852
-1	56945
-1	5922
-1	483
-1	23350
-1	84343
-1	11342
-1	9819
-1	83939
-1	51714
-1	4154
-1	8833
-1	85476
-1	10051
-1	7095
-1	6498
-1	1894
-1	5290
-1	55669
-1	86
-1	55689
-1	1857
-1	23355
-1	100126340
-1	4976
-1	5062
-1	6161
-1	64432
-1	7155
-1	23122
-1	9881
-1	57456
-1	29072
-1	22937
-1	6599
-1	4134
-1	51246
-1	5576
-1	3615
-1	5859
-1	3913
-1	9730
-1	6159
-1	80335
-1	55193
-1	7086
-1	23272
-1	378
-1	201627
-1	80145
-1	9861
-1	8801
-1	9039
-1	27086
-1	23429
-1	8545
-1	11259
-1	9868
-1	64422
-1	25871
-1	80218
-1	2932
-1	116064
-1	11167
-1	285282
-1	3836
-1	64770
-1	57493
-1	6184
-1	7555
-1	8971
-1	8930
-1	23129
-1	30849
-1	11073
-1	25847
-1	55167
-1	10274
-1	51163
-1	80321
-1	5291
-1	9276
-1	7029
-1	54464
-1	545
-1	5359
-1	6478
-1	170506
-1	9197
-1	6747
-1	3840
-1	11235
-1	80012
-1	79718
-1	59345
-1	56922
-1	10195
-1	6434
-1	131578
-1	23527
-1	1739
-1	9711
-1	10425
-1	10181
-1	10954
-1	64747
-1	9779
-1	84836
-1	5130
-1	10093
-1	10180
-1	7375
-1	255758
-1	10336
-1	118
-1	3064
-1	23324
-1	93621
-1	132864
-1	51056
-1	80306
-1	64151
-1	55300
-1	29945
-1	51274
-1	3093
-1	55161
-1	10463
-1	60558
-1	57606
-1	54940
-1	100616436
-1	55858
-1	6731
-1	5431
-1	8615
-1	55752
-1	55589
-1	58478
-1	51023
-1	4299
-1	285512
-1	56916
-1	101929468
-1	58505
-1	10427
-1	55435
-1	677809
-1	57721
-1	5393
-1	84162
-1	4258
-1	255520
-1	84640
-1	8467
-1	6059
-1	55751
-1	6189
-1	729830
-1	27236
-1	23240
-1	2110
-1	9693
-1	6307
-1	1182
-1	60559
-1	60684
-1	201973
-1	521
-1	2580
-1	1487
-1	7884
-1	80273
-1	54876
-1	1665
-1	6133
-1	23244
-1	9575
-1	3490
-1	55236
-1	91746
-1	2926
-1	26057
-1	53371
-1	950
-1	10983
-1	246175
-1	152559
-1	3184
-1	9987
-1	27235
-1	23001
-1	9524
-1	152926
-1	285513
-1	51176
-1	81579
-1	10424
-1	26472
-1	54726
-1	987
-1	152503
-1	5356
-1	1519
-1	5481
-1	55601
-1	91351
-1	84869
-1	4750
-1	201965
-1	2180
-1	3516
-1	10611
-1	27068
-1	92597
-1	7096
-1	10333
-1	55153
-1	285550
-1	6715
-1	11044
-1	22948
-1	10299
-1	55322
-1	285636
-1	10884
-1	79668
-1	23517
-1	4214
-1	65056
-1	57688
-1	10283
-1	23398
-1	80006
-1	55914
-1	140890
-1	64924
-1	5884
-1	6606
-1	55814
-1	3842
-1	115548
-1	689
-1	84135
-1	3074
-1	10412
-1	3156
-1	51426
-1	9522
-1	167153
-1	9765
-1	1462
-1	1350
-1	5921
-1	4012
-1	23262
-1	4124
-1	134430
-1	167227
-1	64848
-1	1176
-1	1657
-1	3295
-1	1456
-1	133619
-1	10111
-1	3308
-1	7320
-1	10802
-1	4090
-1	51247
-1	7322
-1	54882
-1	113829
-1	153527
-1	9812
-1	80762
-1	54439
-1	10915
-1	10146
-1	23367
-1	9337
-1	134510
-1	7265
-1	900
-1	27430
-1	5917
-1	8992
-1	94081
-1	23197
-1	26262
-1	64324
-1	3182
-1	821
-1	57472
-1	54888
-1	100616271
-1	4651
-1	10605
-1	4338
-1	54505
-1	8611
-1	10769
-1	643155
-1	124900212
-1	84340
-1	10087
-1	5908
-1	677828
-1	8546
-1	345778
-1	256987
-1	6228
-1	153339
-1	902
-1	83989
-1	9652
-1	1105
-1	64839
-1	7905
-1	5229
-1	4015
-1	5480
-1	27125
-1	56951
-1	7416
-1	2107
-1	3313
-1	5201
-1	4695
-1	1729
-1	8841
-1	81555
-1	51520
-1	1452
-1	55696
-1	2196
-1	6678
-1	9685
-1	79646
-1	23291
-1	92181
-1	285590
-1	91272
-1	57179
-1	51491
-1	22838
-1	55819
-1	442908
-1	3796
-1	9782
-1	9794
-1	9140
-1	10011
-1	475
-1	51194
-1	9879
-1	5515
-1	23061
-1	96459
-1	56897
-1	8899
-1	6239
-1	83732
-1	154007
-1	100874268
-1	57380
-1	10475
-1	8352
-1	3008
-1	3012
-1	8348
-1	221545
-1	203068
-1	7916
-1	6046
-1	3710
-1	1432
-1	6428
-1	1337
-1	9025
-1	60685
-1	23304
-1	10695
-1	5528
-1	88745
-1	5754
-1	6722
-1	55362
-1	3326
-1	988
-1	860
-1	23607
-1	28978
-1	55227
-1	642489
-1	23469
-1	26054
-1	23033
-1	23036
-1	23595
-1	10957
-1	135293
-1	9994
-1	23376
-1	55278
-1	9896
-1	51362
-1	4082
-1	221294
-1	51389
-1	116150
-1	81847
-1	84456
-1	114801
-1	51534
-1	387082
-1	56995
-1	57583
-1	84624
-1	9444
-1	387263
-1	6908
-1	55770
-1	1992
-1	7020
-1	10048
-1	6310
-1	7913
-1	51567
-1	81688
-1	3006
-1	85236
-1	8354
-1	5987
-1	5514
-1	8449
-1	170954
-1	7917
-1	51596
-1	221496
-1	11165
-1	7005
-1	23787
-1	2739
-1	55173
-1	57510
-1	221395
-1	4594
-1	9697
-1	22858
-1	60481
-1	55788
-1	26503
-1	1303
-1	55754
-1	25998
-1	55122
-1	8732
-1	23195
-1	6885
-1	253714
-1	892
-1	10973
-1	5550
-1	11231
-1	28962
-1	8724
-1	27244
-1	8763
-1	9841
-1	7259
-1	57515
-1	5796
-1	9439
-1	6993
-1	6950
-1	51660
-1	7058
-1	7148
-1	6891
-1	10492
-1	8357
-1	22828
-1	6745
-1	1388
-1	6204
-1	7975
-1	8662
-1	80727
-1	221937
-1	26100
-1	221960
-1	7965
-1	84132
-1	5879
-1	79034
-1	9678
-1	54664
-1	28969
-1	55975
-1	9603
-1	11335
-1	989
-1	8621
-1	64983
-1	9263
-1	165
-1	4967
-1	5478
-1	908
-1	109616964
-1	25870
-1	51427
-1	677807
-1	168374
-1	55069
-1	26053
-1	9883
-1	100093631
-1	3984
-1	7458
-1	2969
-1	4191
-1	3315
-1	222194
-1	57157
-1	9988
-1	55610
-1	10898
-1	5054
-1	9512
